Rank,Country,I,P,TS,WCI Score,Tech,Attacks,Data,Scams,Cash
1,Russia,8.963815789473685,8.8125,8.730263157894736,58.391304347826086,82.17391304347827,81.34057971014492,65.18115942028986,21.70289855072464,41.55797101449274
2,Ukraine,8.366336633663366,8.292079207920793,8.237623762376238,36.442028985507235,52.971014492753625,50.76086956521739,36.01449275362319,11.195652173913045,31.268115942028984
3,China,8.216049382716049,7.703703703703703,7.814814814814815,27.86231884057971,40.21739130434782,24.239130434782613,34.891304347826086,15.833333333333332,24.130434782608695
4,United States,7.987012987012987,7.207792207792208,7.214285714285714,25.007246376811594,27.644927536231883,17.681159420289852,30.362318840579707,22.717391304347828,26.630434782608695
5,Nigeria,8.251748251748252,6.489510489510489,5.7972027972027975,21.282608695652176,7.934782608695652,8.405797101449275,23.043478260869566,52.173913043478265,14.855072463768115
6,Romania,7.125,7.041666666666667,7.145833333333333,14.826086956521738,17.82608695652174,9.166666666666666,22.500000000000004,13.152173913043477,11.485507246376809
7,"Korea, North",7.875,7.203125,7.359375,10.405797101449275,8.659420289855072,24.31159420289855,13.007246376811594,2.1739130434782608,3.876811594202898
8,United Kingdom,7.859649122807017,7.2105263157894735,6.754385964912281,9.01449275362319,5.036231884057971,4.746376811594204,5.797101449275362,7.862318840579709,21.630434782608695
9,Brazil,6.904761904761905,6.349206349206349,6.317460317460317,8.934782608695652,13.695652173913043,8.768115942028986,10.28985507246377,7.282608695652174,4.63768115942029
10,India,7.9,6.6,6.65,6.130434782608695,4.456521739130435,3.6231884057971007,6.811594202898551,12.753623188405797,3.007246376811594
11,Iran,6.878787878787879,6.454545454545454,6.636363636363637,4.77536231884058,8.623188405797102,10.0,3.5869565217391304,0.9420289855072462,0.7246376811594203
12,Ghana,8.565217391304348,6.826086956521739,6.086956521739131,3.579710144927536,1.2318840579710142,0.7608695652173914,2.971014492753623,10.362318840579709,2.572463768115942
13,South Africa,6.95,5.35,5.5,2.579710144927536,1.1956521739130435,0.6521739130434783,0.5797101449275361,7.173913043478262,3.297101449275362
14,Moldova,7.375,7.1875,7.5625,2.5652173913043486,6.702898550724638,0.9782608695652173,2.4275362318840576,0.8333333333333333,1.8840579710144931
15,Israel,8.428571428571429,8.214285714285714,8.071428571428571,2.5072463768115942,6.268115942028986,2.101449275362319,1.8478260869565215,1.6304347826086958,0.6884057971014492
16,Poland,8.461538461538462,7.923076923076923,7.153846153846154,2.217391304347826,1.0869565217391304,1.8840579710144925,1.6666666666666665,2.427536231884058,4.021739130434783
17,Netherlands,7.75,7.25,7.083333333333333,1.920289855072464,1.8115942028985508,2.5,2.2463768115942027,1.4855072463768118,1.5579710144927534
18,Latvia,6.7272727272727275,7.363636363636363,7.0,1.6811594202898554,1.4855072463768118,1.5942028985507248,2.717391304347826,0.6884057971014492,1.9202898550724639
19,Vietnam,7.083333333333333,5.916666666666667,5.333333333333333,1.5942028985507248,1.9927536231884058,0.6884057971014492,2.6811594202898554,1.9202898550724639,0.6884057971014492
20,Malaysia,6.333333333333333,4.583333333333333,4.333333333333333,1.326086956521739,0.6159420289855073,0.7246376811594203,1.2318840579710142,3.4420289855072466,0.6159420289855073
21,France,6.5,6.625,7.0,1.1666666666666667,1.77536231884058,1.7753623188405798,0.8695652173913043,0.7971014492753623,0.6159420289855073
22,Bulgaria,6.625,5.875,6.0,1.072463768115942,1.2681159420289856,1.3405797101449273,1.4130434782608694,0.7608695652173914,0.5797101449275361
23,Afghanistan,9.5,7.5,7.0,,,,,,1.7391304347826086
24,Algeria,6.666666666666667,4.666666666666667,4.333333333333333,,,,1.7028985507246377,,
25,Angola,8.5,6.5,9.0,,,0.6884057971014492,,,1.0507246376811594
26,Argentina,6.0,7.0,7.0,,,,,,0.7246376811594203
27,Armenia,9.5,9.5,9.5,,,,0.9782608695652173,,1.0869565217391304
28,Australia,6.5,5.0,4.875,,0.5434782608695652,,1.5942028985507248,1.2318840579710142,1.3768115942028984
29,Azerbaijan,9.0,6.0,3.0,,,,,,0.6521739130434783
30,Belarus,6.84,7.2,7.32,,11.920289855072463,5.579710144927537,1.8478260869565215,,
31,Belgium,9.0,8.0,8.0,,,0.9057971014492754,,,
32,Belize,7.333333333333333,6.666666666666667,6.333333333333333,,,,,,2.210144927536232
33,Benin,8.0,6.0,7.5,,,0.7608695652173914,,,0.7971014492753623
34,Bosnia and Herzegovina,5.0,7.0,7.0,,0.6884057971014492,,,,
35,Botswana,3.0,3.0,3.0,,,,,0.32608695652173914,0.32608695652173914
36,Cambodia,9.0,8.333333333333334,2.0,,,,0.7608695652173914,0.6884057971014492,0.6521739130434783
37,Cameroon,8.2,5.8,5.4,,0.9057971014492754,,,2.608695652173913,
38,Canada,8.0,7.375,7.75,,,0.8695652173913043,1.7753623188405796,2.717391304347826,1.3405797101449273
39,Central African Republic,7.0,7.0,5.0,,,,,0.6884057971014492,
40,Chile,6.666666666666667,5.666666666666667,5.0,,,,0.6884057971014492,0.5434782608695652,0.6521739130434783
41,Colombia,7.2,6.6,5.6,,,,0.6884057971014492,1.3405797101449273,1.4855072463768118
42,Cuba,9.0,9.0,9.0,,,,0.9782608695652173,,
43,Cyprus,8.333333333333334,7.666666666666667,8.0,,,,,,2.608695652173913
44,Czech Republic,8.0,7.25,5.0,,0.8695652173913043,0.7608695652173914,,,1.3043478260869565
45,Dominican Republic,9.0,7.0,2.0,,,,,0.6521739130434783,
46,Ecuador,6.333333333333333,5.666666666666667,4.666666666666667,,,,0.6159420289855073,0.5434782608695652,0.6521739130434783
47,Egypt,3.0,3.0,5.0,,,0.39855072463768115,,,
48,Equatorial Guinea,10.0,8.0,5.0,,,,,,0.8333333333333333
49,Estonia,6.8,7.6,7.5,,2.4637681159420293,1.3405797101449273,0.7608695652173914,,3.369565217391304
50,Ethiopia,3.0,3.0,3.0,,,,,0.32608695652173914,0.32608695652173914
51,Gambia,9.5,6.0,6.0,,0.8333333333333333,,0.7246376811594203,1.5579710144927534,
52,Georgia,6.0,6.5,6.0,,0.6884057971014492,0.6521739130434783,,,
53,Germany,8.0,7.538461538461538,7.538461538461538,,3.333333333333333,0.9057971014492754,2.137681159420289,,4.492753623188406
54,Greece,10.0,8.0,8.0,,,,,0.9420289855072462,
55,Guinea-Bissau,10.0,1.0,1.0,,0.43478260869565216,,,,
56,Haiti,8.666666666666666,6.666666666666667,6.666666666666667,,,,,,2.391304347826087
57,Hungary,7.0,7.0,7.0,,0.7608695652173914,,,,
58,Indonesia,6.875,6.875,6.375,,,0.6521739130434783,2.282608695652174,2.898550724637681,
59,Italy,7.4,7.4,7.4,,0.7608695652173914,,,1.6304347826086958,1.6304347826086958
60,Ivory Coast,5.25,4.0,2.75,,,,0.39855072463768115,1.3405797101449277,
61,Jamaica,9.0,7.0,4.0,,,,,0.7246376811594203,
62,Japan,5.0,4.0,6.0,,,0.5434782608695652,,,
63,Kazakhstan,7.090909090909091,6.909090909090909,7.0,,1.4492753623188404,3.7318840579710146,2.318840579710145,,0.8695652173913043
64,Kenya,9.0,6.5,6.0,,,,0.8333333333333333,,0.7246376811594203
65,Korea North,10.0,9.0,9.0,,,1.0144927536231885,,,
66,"Korea, South",7.4,7.4,7.0,,1.5579710144927537,0.7608695652173914,0.7608695652173914,0.8695652173913043,
67,Laos,9.333333333333334,9.333333333333334,4.0,,,,0.6884057971014492,0.7971014492753623,0.9782608695652173
68,Lebanon,8.0,8.0,7.0,,0.7971014492753623,,0.8695652173913043,,
69,Lithuania,9.0,8.5,9.0,,,0.9420289855072462,0.9782608695652173,,
70,Luxembourg,6.0,7.0,5.0,,,,,,0.6521739130434783
71,Mali,10.0,1.0,2.0,,0.4710144927536231,,,,
72,Malta,8.0,8.0,8.0,,,,,,0.8695652173913043
73,Mauritius,9.0,7.0,8.0,,0.8695652173913043,,,,
74,Mexico,7.142857142857143,6.142857142857143,6.0,,,0.5434782608695652,0.39855072463768115,2.2101449275362315,1.7391304347826086
75,Morocco,6.75,4.75,4.0,,,,1.7028985507246377,0.5434782608695652,
76,Mozambique,10.0,8.0,9.0,,,,,,0.9782608695652173
77,Myanmar,9.666666666666666,9.0,5.0,,,,0.7608695652173914,,1.8115942028985508
78,Pakistan,6.75,5.25,5.5,,0.6884057971014492,0.4710144927536231,0.6159420289855073,0.7608695652173914,
79,Panama,7.0,7.333333333333333,6.333333333333333,,0.4710144927536231,,,,1.7753623188405798
80,Peru,6.333333333333333,5.333333333333333,4.333333333333333,,,,0.6159420289855073,0.5434782608695652,0.5797101449275361
81,Philippines,6.2727272727272725,5.0,4.2727272727272725,,,0.39855072463768115,1.1231884057971013,2.4637681159420293,2.2101449275362315
82,Senegal,9.5,3.5,4.5,,0.5797101449275361,,0.6884057971014492,,
83,Serbia,7.0,7.0,7.0,,,,0.7608695652173914,,
84,Seychelles,8.5,7.0,7.0,,,,,,1.6304347826086958
85,Sierra Leone,8.75,4.0,4.5,,0.43478260869565216,,,1.4492753623188404,0.6159420289855073
86,Slovenia,5.5,5.0,4.5,,,0.7608695652173914,,,0.32608695652173914
87,Spain,6.5,6.0,6.0,,,,,0.5797101449275361,0.7608695652173914
88,Sweden,9.0,10.0,10.0,,,1.0507246376811594,,,
89,Switzerland,6.75,6.5,5.75,,,0.39855072463768115,,,2.3550724637681157
90,Syria,3.0,5.0,5.0,,,0.4710144927536231,,,
91,Thailand,7.428571428571429,6.571428571428571,5.714285714285714,,,,2.3188405797101446,0.5797101449275361,2.1014492753623184
92,Togo,10.0,10.0,5.0,,,,,,0.9057971014492754
93,Tunisia,7.0,4.5,4.0,,,,1.1231884057971013,,
94,Turkey,5.5,5.7,5.6,,0.5434782608695652,2.0652173913043477,,,3.4782608695652173
95,Uganda,10.0,7.0,9.0,,,,0.9420289855072462,,
96,United Arab Emirates,7.9,6.7,6.8,,,,,1.9927536231884058,5.760869565217392
97,Venezuela,5.666666666666667,4.0,4.0,,,,,0.6884057971014492,0.7971014492753623
98,Zambia,3.0,3.0,3.0,,,,,0.32608695652173914,0.32608695652173914
